id,dataset,method,nRF,wRF,KF
5760_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,1.6072223192999993,0.3325305317829575
4091_100_tips_250,Cherry,window-rate+fastrfs,0.2989690721649484,38.49142878920001,10.231975178708405
2678_90_tips_250,Cherry,window-rate+fastrfs,0.0459770114942528,8.2413607875,3.439426439437677
5872_100_tips_250,Cherry,window-rate+fastrfs,0.3092783505154639,6.035737082500001,1.3367778713181908
3434_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,4.6192719044000015,0.9442977396520374
1723_100_tips_250,Cherry,window-rate+fastrfs,0.0618556701030927,6.264909720199998,1.7927034603960723
2652_100_tips_250,Cherry,window-rate+fastrfs,0.1855670103092783,6.449276856699999,2.7451135245341565
4799_100_tips_250,Cherry,window-rate+fastrfs,0.1752577319587628,40.162179949000006,7.745913715027792
3330_90_tips_250,Cherry,window-rate+fastrfs,0.1494252873563218,1.4349117214999991,0.2969404899377417
2655_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,33.3667941146,8.741638174520869
3188_90_tips_250,Cherry,window-rate+fastrfs,0.1264367816091954,42.013028585700006,12.812872665031604
1676_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,2.8772268023,0.7462291863470024
3066_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,37.438319097,11.362797343311808
4341_90_tips_250,Cherry,window-rate+fastrfs,0.0689655172413793,22.47518021749999,6.773431906650728
3226_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,2.4817909936,0.5036098623299121
2434_100_tips_250,Cherry,window-rate+fastrfs,0.0824742268041237,29.844354011400004,7.867306439267423
1597_100_tips_250,Cherry,window-rate+fastrfs,0.1443298969072164,50.8052737136,15.13961780305372
2764_100_tips_250,Cherry,window-rate+fastrfs,0.1855670103092783,48.26871093079998,14.973928641046871
2437_80_tips_250,Cherry,window-rate+fastrfs,0.0,5.871107627399999,1.2646916423069088
267_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,7.1719771442,2.573398392538857
2208_90_tips_250,Cherry,window-rate+fastrfs,0.1149425287356321,20.504396905800007,5.613432622068232
2701_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,2.3593915217000005,0.4547069991418362
2905_90_tips_250,Cherry,window-rate+fastrfs,0.1494252873563218,23.2257080323,9.116709865001935
5437_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,0.5576225684000002,0.1112671930744463
3624_100_tips_250,Cherry,window-rate+fastrfs,0.2474226804123711,26.331211675899997,7.565217947392331
1382_100_tips_250,Cherry,window-rate+fastrfs,0.2371134020618556,89.0259376336,19.018831804625837
472_90_tips_250,Cherry,window-rate+fastrfs,0.3793103448275862,25.387252419189995,8.33111474566579
198_80_tips_250,Cherry,window-rate+fastrfs,0.0909090909090909,41.45797908919998,13.640731426047866
1153_80_tips_250,Cherry,window-rate+fastrfs,0.0649350649350649,1.0472271861,0.1992970903705795
3960_80_tips_250,Cherry,window-rate+fastrfs,0.1168831168831168,9.489693914000002,2.659950443138039
1207_80_tips_250,Cherry,window-rate+fastrfs,0.1168831168831168,21.67658176120001,7.493565310303674
575_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,18.243778455799998,5.261456546970737
1756_90_tips_250,Cherry,window-rate+fastrfs,0.1724137931034483,31.92145639410001,10.95870243373976
3829_100_tips_250,Cherry,window-rate+fastrfs,0.0927835051546391,6.1070142474,1.482259486180719
2051_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,3.5553397436999994,0.9063693347354628
1161_90_tips_250,Cherry,window-rate+fastrfs,0.0229885057471264,6.247505028299998,1.767205124777615
2858_80_tips_250,Cherry,window-rate+fastrfs,0.0389610389610389,7.581254337200002,1.651028454635822
5486_80_tips_250,Cherry,window-rate+fastrfs,0.1038961038961039,34.701141744900006,9.388169444645026
3954_100_tips_250,Cherry,window-rate+fastrfs,0.1134020618556701,48.7712800444,11.38063336159629
5384_90_tips_250,Cherry,window-rate+fastrfs,0.1724137931034483,23.771099054800004,7.334727170361887
2118_80_tips_250,Cherry,window-rate+fastrfs,0.1818181818181818,26.49988154160001,13.0065245228701
1420_100_tips_250,Cherry,window-rate+fastrfs,0.2783505154639175,35.63775472340002,10.20918340617063
2582_80_tips_250,Cherry,window-rate+fastrfs,0.0519480519480519,2.8418423397,0.8043149591339694
862_90_tips_250,Cherry,window-rate+fastrfs,0.1954022988505747,17.671212948600008,3.884515584023207
794_90_tips_250,Cherry,window-rate+fastrfs,0.1494252873563218,34.2871701469,8.17603098247577
222_90_tips_250,Cherry,window-rate+fastrfs,0.057471264367816,1.4927636032999994,0.3075797734632857
2748_90_tips_250,Cherry,window-rate+fastrfs,0.0804597701149425,38.34066860896,13.63095349591809
2181_80_tips_250,Cherry,window-rate+fastrfs,0.0129870129870129,7.078703467400003,1.681198754915779
5278_90_tips_250,Cherry,window-rate+fastrfs,0.057471264367816,5.827448731200001,1.939926410441341
