id,dataset,method,metric,value
4593_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
1367_80_tips_250,Cherry,PF2_direct,nRF,0.0519480519480519
266_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
860_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
3142_80_tips_250,Cherry,PF2_direct,nRF,0.1298701298701298
677_90_tips_250,Cherry,PF2_direct,nRF,0.0459770114942528
1296_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
514_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
975_80_tips_250,Cherry,PF2_direct,nRF,0.0259740259740259
4641_100_tips_250,Cherry,PF2_direct,nRF,0.2164948453608247
3721_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
3495_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
5771_80_tips_250,Cherry,PF2_direct,nRF,0.1168831168831168
5916_90_tips_250,Cherry,PF2_direct,nRF,0.0344827586206896
2690_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
3355_90_tips_250,Cherry,PF2_direct,nRF,0.160919540229885
2441_100_tips_250,Cherry,PF2_direct,nRF,0.1958762886597938
630_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
1077_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
4071_100_tips_250,Cherry,PF2_direct,nRF,0.1237113402061855
5362_80_tips_250,Cherry,PF2_direct,nRF,0.0389610389610389
2830_100_tips_250,Cherry,PF2_direct,nRF,0.1443298969072164
2988_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
5900_90_tips_250,Cherry,PF2_direct,nRF,0.0689655172413793
5396_100_tips_250,Cherry,PF2_direct,nRF,0.1855670103092783
457_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
227_90_tips_250,Cherry,PF2_direct,nRF,0.0919540229885057
2329_80_tips_250,Cherry,PF2_direct,nRF,0.1038961038961039
872_90_tips_250,Cherry,PF2_direct,nRF,0.0229885057471264
2925_100_tips_250,Cherry,PF2_direct,nRF,0.268041237113402
403_80_tips_250,Cherry,PF2_direct,nRF,0.0779220779220779
1590_100_tips_250,Cherry,PF2_direct,nRF,0.0309278350515463
1565_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
2259_80_tips_250,Cherry,PF2_direct,nRF,0.0909090909090909
353_100_tips_250,Cherry,PF2_direct,nRF,0.1443298969072164
2923_80_tips_250,Cherry,PF2_direct,nRF,0.1428571428571428
1924_100_tips_250,Cherry,PF2_direct,nRF,0.0824742268041237
4803_100_tips_250,Cherry,PF2_direct,nRF,0.0721649484536082
990_100_tips_250,Cherry,PF2_direct,nRF,0.1546391752577319
3333_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
1200_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
3486_90_tips_250,Cherry,PF2_direct,nRF,0.057471264367816
733_100_tips_250,Cherry,PF2_direct,nRF,0.134020618556701
2601_80_tips_250,Cherry,PF2_direct,nRF,0.0649350649350649
1751_90_tips_250,Cherry,PF2_direct,nRF,0.2068965517241379
807_100_tips_250,Cherry,PF2_direct,nRF,0.2371134020618556
