msa_id	split	fitted_model	best_model_base	has_G	has_I	has_F	gamma_alpha	p_invariant	log_likelihood	aic	bic	total_tree_length	mean_branch_length	median_branch_length	max_root_to_leaf_depth	median_root_to_leaf_depth	n_leaves	n_branches	gap_ratio	informative_site_ratio	num_sequences	alignment_length
2398	train	LG+G4	LG	True	False	False	2.256		-1727.9843	3475.9686	3505.7359	5.4437759854	0.6048639983777778	0.4880650528	3.204950709	0.83851198805	6	9	0.0574712643678	0.420689655172	6	145
2399	train	LG+G4	LG	True	False	False	0.9351		-4792.9385	9621.8771	9686.4476	13.4407853645	0.7906344332058823	0.4587087975	3.1712269435000002	1.87672635745	10	17	0.169288389513	0.554307116105	10	267
24	train	LG+G4	LG	True	False	False	0.8937		-4999.2797	10074.5595	10200.0851	12.3859507132	0.33475542468108105	0.1710926197	2.8259098818	1.61771222895	20	37	0.115671641791	0.671641791045	20	201
2400	train	LG+G4	LG	True	False	False	2.0749		-14081.305	28494.6101	29006.1232	64.8928351638	0.3932899100836364	0.2717369509	5.2426180663	3.2821542964	84	165	0.397293700089	0.652173913043	84	161
2404	train	LG+G4	LG	True	False	False	2.0852		-1065.4167	2158.8334	2189.0578	7.5125008021	0.5778846770846153	0.4475440866	3.2386051776	1.3713999766	8	13	0.025390625	0.578125	8	64
2405	train	LG+F+G4	LG	True	False	True	0.7368		-22596.9345	45611.869	46362.3852	107.3501021471	0.5679899584502646	0.3233180192	8.486158069499998	5.488873347849999	96	189	0.495996579602	0.611940298507	96	268
2406	train	LG+F+G4	LG	True	False	True	1.0289		-9888.0098	19902.0197	20159.6295	21.9849864117	0.511278753760465	0.3937684166	3.2728836372999996	2.1031619477	23	43	0.496500049295	0.460317460317	23	441
2407	train	LG+F+G4	LG	True	False	True	1.7455		-19562.5958	39707.1915	40567.3372	123.9096535302	0.4572311938383764	0.3380885196	9.1195505	5.9682384313000005	137	271	0.400483191118	0.795774647887	137	142
2408	train	LG+G4	LG	True	False	False	2.4263		-1258.2422	2528.4845	2546.1771	4.3843138314	0.87686276628	0.6976852859	1.698254129	1.5577982218	4	5	0.0673758865248	0.0496453900709	4	141
2409	train	LG+G4	LG	True	False	False	0.7585		-7018.174	14156.348	14347.255	18.6978473357	0.31691266670677964	0.2565180037	2.5323786891999998	1.5214146420999999	31	59	0.131569409206	0.752808988764	31	178
2410	train	WAG+F	WAG	False	False	True			-2884.4754	5820.9507	5910.8999	6.5704009296	0.9386287042285714	0.7662441662	1.9768818061	1.6754093316	5	7	0.00425531914894	0.153191489362	5	235
2414	train	LG+G4	LG	True	False	False	0.8913		-4185.1972	8390.3943	8429.8223	4.4264452132	0.4918272459111111	0.3734309843	1.1432422612	1.01853506	6	9	0.0218722659668	0.196850393701	6	381
2415	train	LG+G4	LG	True	False	False	1.3869		-4601.9347	9235.8695	9291.4258	15.5511426051	1.03674284034	0.5017393288	6.6643708636	1.8567549356000002	9	15	0.0760971055089	0.558823529412	9	238
2418	train	LG+G4	LG	True	False	False	0.6764		-3412.7446	6957.4893	7100.9989	24.7548242289	0.3808434496753846	0.2557271502	4.3068639161	1.8264472384500001	34	65	0.0597285067873	0.830769230769	34	65
2419	train	LG+F+G4	LG	True	False	True	0.6378		-2625.6129	5317.2259	5419.7221	26.9071707634	2.0697823664153847	0.7255726856	13.3494895507	6.5696264786	8	13	0.106060606061	0.448484848485	8	165
242	train	LG+G4	LG	True	False	False	1.0861		-32552.9425	65369.8851	65897.4168	65.9651988598	0.5035511363343511	0.3089749625	9.0986485613	2.8524403224	67	131	0.284695923368	0.853233830846	67	402
2421	train	LG+G4	LG	True	False	False	1.6303		-7294.7527	14637.5054	14723.5093	24.7961422923	1.0780931431434784	0.8720856879	5.9374016374	3.193540673	13	23	0.132735685367	0.793233082707	13	266
2422	train	LG	LG	False	False	False			-1109.9998	2229.9995	2244.2986	3.3439399523	0.66878799046	0.3934672545	1.4878428267	1.27646267155	4	5	0.0135658914729	0.100775193798	4	129
