id,dataset,method,metric,value
rep_018,30k,window-site+fastrfs,wRF,0.0859895474
rep_015,30k,window-site+fastrfs,wRF,0.2228176644999998
rep_023,30k,window-site+fastrfs,wRF,0.1097733977
rep_027,30k,window-site+fastrfs,wRF,0.1544749460999999
rep_008,30k,window-site+fastrfs,wRF,0.050857077
rep_005,30k,window-site+fastrfs,wRF,0.2364291593999999
rep_022,30k,window-site+fastrfs,wRF,0.1336098859000001
rep_026,30k,window-site+fastrfs,wRF,0.1836801429999999
rep_001,30k,window-site+fastrfs,wRF,0.1853333067999999
rep_010,30k,window-site+fastrfs,wRF,0.0650470927999999
rep_006,30k,window-site+fastrfs,wRF,0.0102471737895
rep_003,30k,window-site+fastrfs,wRF,9.1323080259
rep_004,30k,window-site+fastrfs,wRF,0.4866070161999995
rep_029,30k,window-site+fastrfs,wRF,0.1874031502000001
rep_025,30k,window-site+fastrfs,wRF,0.2237011960999999
rep_009,30k,window-site+fastrfs,wRF,0.2311024852
rep_024,30k,window-site+fastrfs,wRF,0.11594296995
rep_013,30k,window-rate+weighted,wRF,0.1540155497999999
rep_019,30k,window-rate+weighted,wRF,0.0355969928
rep_017,30k,window-rate+weighted,wRF,0.0863394857299999
rep_014,30k,window-rate+weighted,wRF,0.0680507668999999
rep_007,30k,window-rate+weighted,wRF,0.1014103439
rep_028,30k,window-rate+weighted,wRF,0.0494741504
rep_012,30k,window-rate+weighted,wRF,0.3461037401
rep_000,30k,window-rate+weighted,wRF,0.2152576358
rep_008,30k,window-rate+weighted,wRF,0.0518762352
rep_021,30k,window-rate+weighted,wRF,0.1279832123
rep_016,30k,window-rate+weighted,wRF,0.550091306499999
rep_002,30k,window-rate+weighted,wRF,0.0409489270799999
rep_026,30k,window-rate+weighted,wRF,0.1836801429999999
rep_020,30k,window-rate+weighted,wRF,0.1551263951
rep_010,30k,window-rate+weighted,wRF,0.0650041563999999
rep_018,30k,window-rate+weighted,wRF,0.0826075065
rep_015,30k,window-rate+weighted,wRF,0.2228176644999998
rep_004,30k,window-rate+weighted,wRF,0.4866070161999994
rep_011,30k,window-rate+weighted,wRF,0.6986901201000003
rep_025,30k,window-rate+weighted,wRF,0.1877565327999998
rep_023,30k,window-rate+weighted,wRF,0.1097733977
rep_024,30k,window-rate+weighted,wRF,0.11594296995
rep_005,30k,window-rate+weighted,wRF,0.2364291593999999
rep_022,30k,window-rate+weighted,wRF,0.1336098859
rep_003,30k,window-rate+weighted,wRF,0.517045700899999
rep_001,30k,window-rate+weighted,wRF,0.1853333068
rep_027,30k,window-rate+weighted,wRF,0.1733077528
rep_006,30k,window-rate+weighted,wRF,0.0426810707894999
rep_029,30k,window-rate+weighted,wRF,0.1874031502
rep_009,30k,window-rate+weighted,wRF,0.2311024851999999
rep_019,30k,window-rate+fastrfs,wRF,0.0355969928
rep_014,30k,window-rate+fastrfs,wRF,0.0680507668999999
rep_017,30k,window-rate+fastrfs,wRF,0.0863394857299999
rep_011,30k,window-rate+fastrfs,wRF,0.6986901201000004
rep_007,30k,window-rate+fastrfs,wRF,0.1014289314
rep_012,30k,window-rate+fastrfs,wRF,0.3461037400999998
rep_028,30k,window-rate+fastrfs,wRF,0.0494741504
rep_021,30k,window-rate+fastrfs,wRF,0.1279832122999999
rep_002,30k,window-rate+fastrfs,wRF,0.04094892708
rep_013,30k,window-rate+fastrfs,wRF,0.1540155497999998
rep_027,30k,window-rate+fastrfs,wRF,0.1733077527999999
rep_018,30k,window-rate+fastrfs,wRF,0.0826075065
rep_015,30k,window-rate+fastrfs,wRF,0.2228176644999998
rep_000,30k,window-rate+fastrfs,wRF,0.2153892558000001
rep_008,30k,window-rate+fastrfs,wRF,0.0518762352
rep_023,30k,window-rate+fastrfs,wRF,0.1097733977
rep_006,30k,window-rate+fastrfs,wRF,0.0426810707894999
rep_016,30k,window-rate+fastrfs,wRF,0.550091306499999
rep_026,30k,window-rate+fastrfs,wRF,0.1836801429999999
rep_029,30k,window-rate+fastrfs,wRF,0.1874031502000001
rep_010,30k,window-rate+fastrfs,wRF,0.0650041563999999
rep_020,30k,window-rate+fastrfs,wRF,0.1551263951
rep_004,30k,window-rate+fastrfs,wRF,0.4866070161999996
rep_003,30k,window-rate+fastrfs,wRF,0.5170457008999995
rep_025,30k,window-rate+fastrfs,wRF,0.1877565328
rep_005,30k,window-rate+fastrfs,wRF,0.2364291594
rep_001,30k,window-rate+fastrfs,wRF,0.1853333067999999
rep_022,30k,window-rate+fastrfs,wRF,0.1336098859
