label,source_run,id,n_tips,length,rf,norm_rf,weighted_rf,kf_score,MAE,MRE
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2404_40_tips_250,40,250,18.000000,0.243243,4.927452,1.077014,0.644240,0.154719
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2409_40_tips_250,40,250,8.000000,0.108108,4.179909,1.175088,0.692368,0.180047
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2413_40_tips_250,40,250,8.000000,0.108108,0.657609,0.159722,0.055877,0.113448
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2416_40_tips_250,40,250,8.000000,0.108108,2.669833,0.642567,0.234714,0.087059
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2423_40_tips_250,40,250,8.000000,0.108108,1.364810,0.317388,0.078152,0.067681
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2424_40_tips_250,40,250,8.000000,0.108108,4.716954,1.494405,0.555314,0.193642
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2432_40_tips_250,40,250,12.000000,0.162162,1.019750,0.249297,0.074825,0.110120
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2441_40_tips_250,40,250,2.000000,0.027027,1.986315,0.508742,0.160800,0.081559
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2451_40_tips_250,40,250,6.000000,0.081081,2.037596,0.551992,0.217425,0.078399
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2455_40_tips_250,40,250,12.000000,0.162162,0.962902,0.242834,0.102498,0.091136
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2459_40_tips_250,40,250,4.000000,0.054054,1.975594,0.504148,0.152771,0.125851
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2464_40_tips_250,40,250,6.000000,0.081081,7.709348,1.803115,0.829995,0.198001
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2468_40_tips_250,40,250,4.000000,0.054054,0.894213,0.280426,0.081136,0.091450
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2470_40_tips_250,40,250,8.000000,0.108108,1.810079,0.530100,0.119558,0.078657
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2488_40_tips_250,40,250,4.000000,0.054054,0.925889,0.215775,0.122794,0.104572
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,249_40_tips_250,40,250,0.000000,0.000000,1.171836,0.369517,0.198108,0.126411
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2508_40_tips_250,40,250,12.000000,0.162162,1.236302,0.298223,0.117636,0.126299
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2509_40_tips_250,40,250,8.000000,0.108108,0.961392,0.236064,0.090587,0.088588
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2512_40_tips_250,40,250,20.000000,0.270270,0.942729,0.449161,0.087150,0.159673
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2517_40_tips_250,40,250,10.000000,0.135135,1.151270,0.245168,0.124920,0.095275
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2524_40_tips_250,40,250,10.000000,0.135135,0.950702,0.242851,0.082555,0.062790
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2528_40_tips_250,40,250,8.000000,0.108108,2.597520,0.575153,0.161219,0.064918
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2529_40_tips_250,40,250,8.000000,0.108108,5.085334,1.345092,0.442921,0.081915
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2537_40_tips_250,40,250,4.000000,0.054054,2.635321,0.623295,0.306520,0.100701
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2541_40_tips_250,40,250,6.000000,0.081081,3.576362,0.908319,0.234881,0.078034
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2551_40_tips_250,40,250,12.000000,0.162162,0.899139,0.261035,0.086751,0.092272
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2564_40_tips_250,40,250,2.000000,0.027027,0.878729,0.200392,0.091801,0.091344
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2576_40_tips_250,40,250,2.000000,0.027027,1.888980,0.451078,0.217767,0.085063
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2578_40_tips_250,40,250,8.000000,0.108108,1.009427,0.212418,0.076522,0.062438
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2584_40_tips_250,40,250,2.000000,0.027027,0.913621,0.257646,0.045106,0.065806
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2587_40_tips_250,40,250,6.000000,0.081081,5.070762,1.170631,0.285404,0.077968
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,258_40_tips_250,40,250,10.000000,0.135135,0.960326,0.250819,0.125860,0.108270
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2591_40_tips_250,40,250,6.000000,0.081081,1.775656,0.478912,0.171284,0.119062
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2603_40_tips_250,40,250,8.000000,0.108108,2.473743,0.575572,0.178858,0.103454
PF+FastME,data/topos_lggc.csv + data/dists_lggc.csv,2604_40_tips_250,40,250,8.000000,0.108108,0.645626,0.154897,0.074163,0.136041
